name,total_ops,threads,spent,throughput,latency
CrossbeamSkipMap,8388608,1,20848009702,402369.7283292832,2485
CrossbeamSkipMap,8388608,2,13311115870,630195.7012413866,3173
CrossbeamSkipMap,8388608,3,8836073198,949359.2698958989,3160
CrossbeamSkipMap,8388608,4,6279948290,1335776.6039821962,2994
CrossbeamSkipMap,8388608,5,5184432780,1618037.759571453,3090
CrossbeamSkipMap,8388608,6,4265650089,1966548.550625855,3051
CrossbeamSkipMap,8388608,7,3681067422,2278852.03891275,3071
CrossbeamSkipMap,8388608,8,3284366735,2554102.107601574,3132
CrossbeamSkipMap,8388608,9,2979017005,2815897.991156314,3196
CrossbeamSkipMap,8388608,10,2739206038,3062423.1560634435,3265
CrossbeamSkipMap,8388608,11,2566319296,3268731.218704907,3365
CrossbeamSkipMap,8388608,12,2297957705,3650462.313448019,3287
CrossbeamSkipMap,8388608,13,2165129670,3874413.6742627523,3355
CrossbeamSkipMap,8388608,14,2007085162,4179497.790537699,3349
RwLock<BTreeMap>,8388608,1,5107478470,1642416.7129186154,608
RwLock<BTreeMap>,8388608,2,7834786644,1070687.484058564,1867
RwLock<BTreeMap>,8388608,3,8642164911,970660.4868558727,3090
RwLock<BTreeMap>,8388608,4,9577993414,875821.0240297833,4567
RwLock<BTreeMap>,8388608,5,8928540174,939527.384826885,5321
RwLock<BTreeMap>,8388608,6,10866527129,771967.7041630842,7772
RwLock<BTreeMap>,8388608,7,10988566346,763394.2168491867,9169
RwLock<BTreeMap>,8388608,8,12462999320,673080.9963648461,11885
RwLock<BTreeMap>,8388608,9,12493024844,671463.324915165,13403
RwLock<BTreeMap>,8388608,10,12768570075,656973.1732470443,15221
RwLock<BTreeMap>,8388608,11,13363399837,627730.0763518269,17523
RwLock<BTreeMap>,8388608,12,13070626506,641790.8121044737,18697
RwLock<BTreeMap>,8388608,13,13574649329,617961.3039490547,21036
RwLock<BTreeMap>,8388608,14,13025588884,644009.885058184,21738
RwLock<FxHashMap>,8388608,1,1332515377,6295317.9714037925,158
RwLock<FxHashMap>,8388608,2,2364551991,3547652.169175755,563
RwLock<FxHashMap>,8388608,3,3155973570,2658009.585295735,1128
RwLock<FxHashMap>,8388608,4,3412663112,2458082.6541310237,1627
RwLock<FxHashMap>,8388608,5,3879922517,2162055.5470489566,2312
RwLock<FxHashMap>,8388608,6,4845561088,1731194.3545143476,3465
RwLock<FxHashMap>,8388608,7,5736332105,1462364.4249411882,4786
RwLock<FxHashMap>,8388608,8,7060288229,1188139.5954267068,6733
FxDashMap,8388608,1,1495570873,5608967.218767171,178
FxDashMap,8388608,2,973572850,8616312.58513423,232
FxDashMap,8388608,3,558282610,15025737.591933949,199
FxDashMap,8388608,4,478711437,17523308.09677313,228
FxDashMap,8388608,5,396135223,21176122.47775301,236
FxDashMap,8388608,6,316224821,26527354.726528566,226
FxDashMap,8388608,7,269197801,31161502.689986683,224
FxDashMap,8388608,8,224872883,37303777.53017023,214
FxDashMap,8388608,9,210803156,39793559.82696957,226
FxDashMap,8388608,10,192689456,43534338.48502847,229
FxDashMap,8388608,11,181380592,46248652.66731514,237
FxDashMap,8388608,12,172925443,48509969.69832831,247
FxDashMap,8388608,13,166680625,50327433.077479765,258
FxDashMap,8388608,14,159807052,52492101.537546664,266
FxFlurry,8388608,1,2236016950,3751585.1568119824,266
FxFlurry,8388608,2,2483693349,3377473.311420459,592
FxFlurry,8388608,3,2101600678,3991532.781566794,751
FxFlurry,8388608,4,1710872534,4903116.879424987,815
FxFlurry,8388608,5,1280576699,6550648.630847842,763
FxFlurry,8388608,6,1503044856,5581076.28425961,1075
FxFlurry,8388608,7,1192962260,7031746.335378623,995
FxFlurry,8388608,8,1387718998,6044889.500028305,1323
FxFlurry,8388608,9,1448144534,5792659.367245176,1553
FxFlurry,8388608,10,1530156440,5482189.781850019,1824
FxFlurry,8388608,11,1341861945,6251468.738089893,1759
FxFlurry,8388608,12,1349378690,6216644.787831946,1930
FxFlurry,8388608,13,1447864661,5793779.09134561,2243
FxFlurry,8388608,14,1650130500,5083602.781719386,2753
FxEvmap,8388608,1,4701779216,1784134.8167633738,560
FxEvmap,8388608,2,11064766258,758136.9370487067,2638
FxEvmap,8388608,3,13599174136,616846.8699723105,4863
FxEvmap,8388608,4,15384715717,545255.9640559785,7336
FxEvmap,8388608,5,18099178954,463480.02974721015,10787
FxEvmap,8388608,6,18734700089,447757.79490194964,13400
FxEvmap,8388608,7,15493773531,541418.0078994986,12929
FxEvmap,8388608,8,17167705329,488627.21250403865,16372
FxEvmap,8388608,9,17073590833,491320.66488242283,18317
FxEvmap,8388608,10,17637738638,475605.64152634545,21025
FxEvmap,8388608,11,18443586049,454825.21553636936,24185
FxEvmap,8388608,12,16182256577,518383.0796455675,23148
FxEvmap,8388608,13,16740880639,501085.2284830032,25943
FxEvmap,8388608,14,18565012348,451850.38624031405,30983
StripedHashMap,8388608,1,1817655530,4615070.27131813,216
StripedHashMap,8388608,2,2731345609,3071236.37973857,651
StripedHashMap,8388608,3,2422210895,3463202.9842306525,866
StripedHashMap,8388608,4,2499681959,3355870.121715752,1191
StripedHashMap,8388608,5,2751438744,3048807.834916495,1639
StripedHashMap,8388608,6,2707191681,3098638.3634650363,1936
StripedHashMap,8388608,7,2550296199,3289268.126302062,2128
StripedHashMap,8388608,8,2786502415,3010443.4702239437,2657
StripedHashMap,8388608,9,2640009869,3177491.1520226593,2832
StripedHashMap,8388608,10,2758954220,3040502.7887704493,3288
StripedHashMap,8388608,11,2620767930,3200820.608332154,3436
StripedHashMap,8388608,12,2702769020,3103708.803055616,3866
StripedHashMap,8388608,13,2864532506,2928438.7530703065,4439
StripedHashMap,8388608,14,2634169891,3184535.6780748353,4396
