name,total_ops,threads,spent,throughput,latency
CrossbeamSkipMap,16777216,1,32953029923,509125.1408202109,1964
CrossbeamSkipMap,16777216,2,21464883360,781612.2602960186,2558
CrossbeamSkipMap,16777216,3,15250507507,1100108.700795645,2727
CrossbeamSkipMap,16777216,4,11436144324,1467034.301481416,2726
CrossbeamSkipMap,16777216,5,9469788587,1771656.8691967991,2822
CrossbeamSkipMap,16777216,6,8197577844,2046606.487827333,2931
CrossbeamSkipMap,16777216,7,7130426489,2352904.980632218,2975
CrossbeamSkipMap,16777216,8,6404506270,2619595.530507616,3053
CrossbeamSkipMap,16777216,9,6028360326,2783047.9753575367,3233
CrossbeamSkipMap,16777216,10,5833160509,2876179.38407736,3476
CrossbeamSkipMap,16777216,11,5476333763,3063585.370444851,3590
CrossbeamSkipMap,16777216,12,5127216354,3272188.0337488097,3667
CrossbeamSkipMap,16777216,13,4778019938,3511332.3547625598,3702
CrossbeamSkipMap,16777216,14,5003225223,3353280.1847245563,4175
RwLock<BTreeMap>,16777216,1,8837968795,1898311.2963118353,526
RwLock<BTreeMap>,16777216,2,14449334686,1161106.470615252,1722
RwLock<BTreeMap>,16777216,3,15130992118,1108798.1454991067,2705
RwLock<BTreeMap>,16777216,4,17666172204,949680.3159317829,4211
RwLock<BTreeMap>,16777216,5,16989666781,987495.2944199241,5063
RwLock<BTreeMap>,16777216,6,20131009780,833401.6119086104,7199
RwLock<BTreeMap>,16777216,7,21802274423,769516.779510908,9096
RwLock<BTreeMap>,16777216,8,23357653881,718274.8783535671,11137
RwLock<BTreeMap>,16777216,9,23413628402,716557.712112954,12560
RwLock<BTreeMap>,16777216,10,24229064446,692441.7588385163,14441
RwLock<BTreeMap>,16777216,11,25083712535,668848.9981931616,16446
RwLock<BTreeMap>,16777216,12,24377730576,688218.944240743,17436
RwLock<BTreeMap>,16777216,13,25447355955,659291.1275209928,19718
RwLock<BTreeMap>,16777216,14,25113226087,668062.9538347054,20956
RwLock<FxHashMap>,16777216,1,4466016377,3756640.0531808888,266
RwLock<FxHashMap>,16777216,2,6504227504,2579432.52902551,775
RwLock<FxHashMap>,16777216,3,7284640707,2303094.5073074554,1302
RwLock<FxHashMap>,16777216,4,8913410928,1882244.1975941178,2125
RwLock<FxHashMap>,16777216,5,10565428971,1587935.146414795,3148
RwLock<FxHashMap>,16777216,6,11662949518,1438505.4118691762,4170
RwLock<FxHashMap>,16777216,7,15113465811,1110083.9615350887,6305
RwLock<FxHashMap>,16777216,8,15420716357,1087966.0588779482,7353
RwLock<FxHashMap>,16777216,9,15790108119,1062514.320583545,8470
RwLock<FxHashMap>,16777216,10,19859535425,844793.9813778398,11837
